

,Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
,Responden 138,3,2,2,3,2,3,4,4
,Responden 139,3,2,2,3,2,2,2,3
,Responden 140,3,3,2,3,3,2,3,2
,Responden 141,4,4,4,1,3,3,3,4
,Responden 142,2,2,2,2,4,2,4,2
,Responden 143,4,3,3,2,3,2,3,3
,Responden 144,3,3,3,1,3,3,3,3
,Responden 145,3,2,3,3,3,3,3,3
,Responden 146,3,1,0,3,4,0,4,1
,Responden 147,3,2,2,3,1,2,2,4
,Responden 148,3,1,1,3,3,1,3,1
,Responden 149,4,3,3,1,2,2,3,3
,Responden 150,3,1,1,1,2,2,3,1
,Responden 151,3,2,2,1,2,2,4,3
,Responden 152,4,2,2,3,2,3,3,3
,Responden 153,3,2,2,3,4,3,4,3
,Responden 154,3,1,2,2,3,2,4,3
,Responden 155,4,4,4,2,4,2,3,3
,Responden 156,3,0,0,3,4,1,3,3
,Responden 157,3,2,2,0,4,2,2,3
,Responden 158,3,3,3,3,2,2,3,1
,Responden 159,3,3,3,1,2,2,2,3
,Responden 160,3,2,2,2,3,3,2,3
,Responden 161,4,2,2,3,3,1,3,4
,Responden 162,2,2,1,1,3,1,3,1
,Responden 163,4,3,3,2,3,2,2,3
,Responden 164,3,1,2,0,3,2,3,0
,Responden 165,2,2,2,3,1,3,3,2
,Responden 166,3,3,3,1,3,1,3,4
,Responden 167,4,2,2,1,2,3,3,1
,Responden 168,3,3,3,2,2,1,2,4
,Responden 169,3,2,3,0,4,2,0,4
,Responden 170,3,3,3,2,3,2,2,3
,Responden 171,3,3,2,2,2,2,3,2
,Responden 172,4,2,2,1,3,3,3,3
,Responden 173,3,2,1,1,3,1,3,2
,Responden 174,3,3,3,3,3,3,3,2
,Responden 175,3,2,2,2,2,3,2,2
,Responden 176,4,3,2,4,2,2,2,2
,Responden 177,3,1,1,4,3,2,1,1
,Responden 178,4,4,4,0,4,1,0,1
,Responden 179,3,2,2,3,1,2,3,3
,Responden 180,4,3,3,2,2,2,3,3
,Responden 181,3,1,1,3,3,3,3,3
,Responden 182,3,3,3,1,1,4,3,1
,Responden 183,3,2,2,2,3,1,3,3
,Responden 184,2,1,1,4,0,0,0,3
,Responden 185,3,2,2,2,3,1,3,3
,Responden 186,3,3,2,2,4,3,2,1
,Responden 187,3,3,2,2,4,0,4,1
,Responden 188,2,1,1,2,1,3,3,3
,Responden 189,4,3,3,3,4,2,3,3
,Responden 190,3,1,1,2,1,3,3,2
,Responden 191,3,2,2,3,3,1,3,3
,Responden 192,3,2,3,0,4,0,4,3
,Responden 193,3,2,2,4,3,1,4,2
,Responden 194,4,1,1,3,4,1,2,0
,Responden 195,4,2,2,4,3,1,4,3
,Responden 196,3,2,2,4,3,0,4,3
